법인등록번호,자산총액,직전사업결산일자,자본금액,자본총액,회사구분,부채총액,소속회사명,기업공개일자,기업설립일,집단편입일,업종코드,업종명,상시종업원수,공개년월,출력순위,대표자명,매출액,결산기일,당기순이익,기업집단명,rcmgCode
1.10E+12,2.91E+12,20210330,55660000000,2.67E+12,일반회사,2.38E+11,한국앤컴퍼니,19681201,19410510,19410510,M71,전문 서비스업,58,202105,2419,"조현식, 조현범",7.00E+11,20211231,84205000000,한국타이어,351067
1.10E+12,2.50E+12,20210319,2.19E+11,1.41E+12,일반회사,1.09E+12,세아베스틸,19910212,19550405,20031226,C24,1차 금속 제조업,1552,202105,326,"김철희, 박준두",1.39E+12,20201231,-2.38E+11,세아,381519
1.10E+12,4.88E+13,20210326,44700000000,4.75E+12,금융보험업,4.41E+13,현대해상화재보험,19890825,19550305,,K65,보험 및 연금업,4114,202105,2581,"조용일, 이성재",1.75E+13,20201231,3.06E+11,현대해상화재보험,870102
1.10E+12,2.29E+12,20210329,1.28E+11,5.43E+11,일반회사,1.75E+12,코오롱글로벌,19780915,19601228,19870401,F41,종합 건설업,3160,202105,2280,윤창운,3.80E+12,20201231,88094000000,코오롱,500461
1.10E+12,4.16E+13,20210322,2.14E+12,2.36E+13,일반회사,1.80E+13,기아,19730721,19441211,20010402,C30,자동차 및 트레일러 제조업,35055,202105,1194,"송호성, 최준영",3.44E+13,20201231,7.65E+11,현대자동차,380911
1.10E+12,2.61E+11,20210331,5000000000,2.18E+11,일반회사,42858000000,에이팩인베스터스,,19600310,19600310,L68,부동산업,6,202105,539,이주성,1.12E+11,20201231,85268000000,세아,386847
1.10E+12,4.95E+12,20210326,2.53E+11,1.02E+12,일반회사,3.93E+12,에스케이건설,,19620221,19770801,F41,종합 건설업,4815,202105,1812,안재현,7.53E+12,20201231,1.21E+11,에스케이,500283
1.10E+12,1.88E+11,20210319,91446000000,1.14E+11,일반회사,73669000000,영진약품,19730625,19620716,20040501,C21,의료용 물질 및 의약품 제조업,641,202105,2015,이재준,2.08E+11,20201231,-133000000,케이티앤지,350648
1.10E+12,2.82E+11,20210325,33048000000,1.14E+11,일반회사,1.69E+11,중앙일보,,19650921,19650921,J58,출판업,698,202105,2178,"박장희, 홍정도",2.74E+11,20201231,9140000000,중앙,340219
1.10E+12,6.45E+11,20210325,75943000000,4.28E+11,일반회사,2.17E+11,현대비앤지스틸,19870303,19660407,20010402,C24,1차 금속 제조업,467,202105,2534,정일선,6.80E+11,20201231,23360000000,현대자동차,370266
1.10E+12,1.67E+11,20210329,42864000000,1.06E+11,일반회사,60373000000,시그네틱스,20101126,19660912,20000419,C26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",150,202105,1677,백동원,2.01E+11,20201231,-37360000000,영풍,383686
1.10E+12,7.94E+12,20210324,21179000000,5.03E+12,일반회사,2.90E+12,롯데지주,19740216,19670324,19870401,K64,금융업,162,202105,1466,"신동빈, 송용덕, 이동우",2.90E+11,20201231,-3.07E+11,롯데,310204
1.10E+12,1.41E+11,20210326,4634000000,68393000000,일반회사,72374000000,원지,,19670428,20120601,C22,고무 및 플라스틱제품 제조업,235,202105,644,노정수,1.34E+11,20201231,3548000000,씨제이,353191
1.10E+12,1.89E+13,20210318,2.60E+11,9.62E+12,일반회사,9.24E+12,지에스칼텍스,,19670519,20050404,C19,"코크스, 연탄 및 석유정제품 제조업",3290,202105,2204,허세홍,2.11E+13,20201231,-7.96E+11,지에스,352705
1.10E+12,1.65E+12,20210326,73385000000,5.57E+11,일반회사,1.09E+12,에스지씨에너지,19921209,19670627,19940120,D35,"전기, 가스, 증기 및 공기 조절 공급업",186,202105,1808,"이복영, 안찬규, 박준영",69991000000,20201231,4787000000,오씨아이,360066
1.10E+12,1.16E+11,20210322,110000000,81053000000,일반회사,34569000000,나진산업,,19670720,20171229,L68,부동산업,88,202105,1200,이호,13504000000,20201231,53583000000,IMM인베스트먼트,902918
1.10E+12,1.02E+13,20210326,2.19E+11,2.05E+12,일반회사,8.12E+12,디엘,19760202,19391010,19391010,K64,금융업,39,202105,1399,배원복,7.12E+12,20201231,5.01E+11,DL,500070
1.10E+12,7.87E+13,20210324,1.49E+12,5.36E+13,일반회사,2.51E+13,현대자동차,19740628,19671229,20010402,C30,자동차 및 트레일러 제조업,71401,202105,2561,장재훈 외 2명,5.07E+13,20201231,5.27E+11,현대자동차,380954
1.10E+12,2.80E+12,20210324,3.00E+11,1.70E+12,일반회사,1.10E+12,신세계센트럴시티,,19680315,20121203,L68,부동산업,119,202105,398,박주형,1.86E+11,20201231,15444000000,신세계,711268
1.10E+12,5.61E+12,20210325,77000000000,2.32E+12,일반회사,3.29E+12,지에스리테일,20111223,19710213,20050404,G47,소매업; 자동차 제외,7049,202105,768,허연수,8.57E+12,20201231,1.83E+11,지에스,810045
1.10E+12,1.13E+13,20210323,1.23E+12,4.24E+12,일반회사,7.09E+12,현대오일뱅크,,19641119,20100902,C19,"코크스, 연탄 및 석유정제품 제조업",2047,202105,2552,강달호,1.25E+13,20201231,-4.57E+11,현대중공업,350915
1.10E+12,1.76E+12,20210329,48852000000,1.40E+12,일반회사,3.62E+11,현대그린푸드,19890822,19680227,19990401,G46,도매 및 상품 중개업,5781,202105,1073,박홍진,1.51E+12,20201231,37706000000,현대백화점,620114
1.10E+12,4.71E+13,20210326,35400000000,6.06E+12,금융보험업,4.11E+13,디비손해보험,19730628,19681101,19830510,K65,보험 및 연금업,4594,202105,1373,김정남,1.73E+13,20201231,5.02E+11,DB,870099
1.10E+12,6.06E+13,20210325,1.53E+12,5.65E+12,금융보험업,5.50E+13,엔에이치투자증권,19750930,19690116,20140801,K64,금융업,3009,202105,1960,정영채,1.23E+13,20201231,4.89E+11,농협,860301
1.10E+12,2.47E+13,20210326,8.77E+11,3.37E+12,일반회사,2.14E+13,대한항공,19660318,19620619,19690301,H51,항공 운송업,19491,202105,118,"조원태, 우기홍",7.41E+12,20201231,-1.95E+11,한진,990027
1.10E+12,46628000000,20210324,10539000000,45267000000,일반회사,1361000000,서울피엠씨,,19691010,20010402,L68,부동산업,6,202105,310,김창한,1430000000,20201231,-37000000,현대자동차,23973
1.10E+12,5.13E+11,20210326,9329000000,2.57E+11,일반회사,2.56E+11,승산,,19691128,20050404,I55,숙박업,153,202105,387,허인영,24517000000,20201231,36347000000,지에스,790125
1.10E+12,1.10E+12,20210318,20000000000,1.16E+11,금융보험업,9.83E+11,키움예스저축은행,,19710412,20161010,K64,금융업,107,202105,902,임경호,65709000000,20201231,15489000000,다우키움,880507
1.10E+12,1.86E+11,20210325,60000000,1.36E+11,일반회사,49390000000,동륭실업,,19710706,20090401,L68,부동산업,9,202105,1328,정근모,1097000000,20201231,1.02E+11,효성,72150
1.10E+12,24353000000,20210330,980000000,17808000000,일반회사,6545000000,대산앤컴퍼니,,19810709,20210501,G47,소매업; 자동차 제외,8,202105,1292,정영화,745000000,20201231,-5705000000,효성,812463
1.10E+12,75943000000,20210329,15440000000,68747000000,일반회사,7196000000,교보정보통신,,19710724,19950802,J62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",264,202105,1152,이재훈,54272000000,20201231,2873000000,교보생명보험,28185
1.10E+12,7.15E+11,20210326,20708000000,6.58E+11,일반회사,56707000000,세아제강지주,19690513,19601019,19601019,K64,금융업,35,202105,335,"이순형, 김태현",13300000000,20201231,14144000000,세아,370118
1.10E+12,3.24E+11,20210330,27475000000,1.30E+11,일반회사,1.94E+11,동아건설산업,,19450820,20161229,F41,종합 건설업,208,202105,1334,박상원,1.89E+11,20201231,32483000000,SM,500135
1.10E+12,92957000000,20210324,10017000000,69852000000,일반회사,23105000000,에스엠코어,20111108,19720413,20170301,C29,기타 기계 및 장비 제조업,294,202105,502,이응상,1.04E+11,20201231,-482000000,에스케이,382159
1.10E+12,2.98E+12,20210325,2.78E+11,3.93E+11,금융보험업,2.59E+12,유진저축은행,,19720515,20171016,K64,금융업,316,202105,659,강진순,3.05E+11,20201231,51913000000,유진,881988
1.10E+12,3694000000,20210325,103000000,1862000000,일반회사,1832000000,동고택시,,19720601,20200203,H49,육상 운송 및 파이프라인 운송업,160,202105,1324,최바다,7925000000,20201231,164000000,카카오,146404
1.10E+12,1.38E+12,20210326,1.85E+11,4.00E+11,일반회사,9.80E+11,금호건설,19760626,19600905,19870401,F41,종합 건설업,1642,202105,1179,서재환,1.83E+12,20201231,44152000000,금호아시아나,610364
1.10E+12,1.45E+12,20210326,20862000000,1.89E+11,금융보험업,1.26E+12,디비저축은행,,19721101,19780601,K64,금융업,128,202105,166,윤재인,67901000000,20201231,7609000000,DB,881562
1.10E+12,1.25E+12,20210318,23008000000,7.30E+11,일반회사,5.22E+11,제일기획,19980303,19730117,19730117,M71,전문 서비스업,1282,202105,738,유정근,8.71E+11,20201231,1.18E+11,삼성,820032
1.10E+12,26311000000,20210326,2092000000,26114000000,일반회사,197000000,신대성전기,,19730302,20081201,C30,자동차 및 트레일러 제조업,1,202105,1685,윤성욱,,20201231,-314000000,엘에스,381748
1.10E+12,1.62E+13,20210326,5.12E+11,6.57E+12,일반회사,9.61E+12,호텔롯데,,19730505,19870401,I55,숙박업,5484,202105,1108,"김현식, 최홍훈, 이갑, 이봉철",3.50E+12,20201231,-1.47E+12,롯데,630020
1.10E+12,2.44E+12,20210318,2.00E+11,6.77E+11,일반회사,1.76E+12,호텔신라,19910312,19730509,19730509,G47,소매업; 자동차 제외,2412,202105,1109,이부진,2.81E+12,20201231,-3.02E+11,삼성,630039
1.10E+12,50692000000,20210330,10001000000,33944000000,일반회사,16748000000,헤럴드,,19731023,20190801,J58,출판업,304,202105,1067,전창협,53467000000,20201231,3407000000,중흥건설,820601
1.10E+12,2.68E+12,20210319,20101000000,7.08E+11,일반회사,1.97E+12,태영건설,19891113,19731120,19731120,F41,종합 건설업,1481,202105,911,이재규,2.15E+12,20201231,7.85E+11,태영,501662
1.10E+12,3.86E+11,20210325,1033000000,1.03E+11,일반회사,2.83E+11,롯데상사,,19740126,19870401,G46,도매 및 상품 중개업,105,202105,1442,정기호,4.80E+11,20201231,-8568000000,롯데,381802
1.10E+12,2.12E+11,20210330,344000000,96019000000,일반회사,1.16E+11,신동진,,19740221,20090401,L68,부동산업,5,202105,391,최현태,20286000000,20201231,3161000000,효성,40724
1.10E+12,1.50E+12,20210325,1.17E+11,8.02E+11,일반회사,6.97E+11,디엘건설,19771212,19561017,19860730,F41,종합 건설업,1648,202105,1400,조남창,1.73E+12,20201231,1.49E+11,DL,500739
1.10E+12,5.89E+11,20210324,49679000000,4.53E+11,일반회사,1.37E+11,남해화학,19951110,19740508,19981031,C20,화학 물질 및 화학제품 제조업; 의약품 제외,493,202105,1204,하형수,1.01E+12,20201231,25044000000,농협,350052
1.10E+12,2.57E+11,20210331,20000000000,1.27E+11,일반회사,1.29E+11,지에스네오텍,,19740702,20050404,F42,전문직별 공사업,248,202105,2197,남기정,4.33E+11,20201231,-8680000000,지에스,502065
